CODIGO,COMUNA,HOMBRE,MUJER,INDETERMINADO,TOTAL,Category,A,B,C,D,00 a 02 años,03 a 04 años,05 a 09 años,10 a 14 años,15 a 19 años,20 a 24 años,25 a 29 años,30 a 34 años,35 a 39 años,40 a 44 años,45 a 49 años,50 a 54 años,55 a 59 años,60 a 64 años,65 a 69 años,70 a 74 años,75 a 79 años,80 a 84 años,85 a 89 años,90 a 94 años,95 a 99 años,Más de 99 años,S.I.,Total general
13202,PIRQUE,,,,25300.0,TRAMO FONASA,3919.0,10645.0,4393.0,6343.0,,,,,,,,,,,,,,,,,,,,,,,,
13203,SAN JOSÉ DE MAIPO,,,,11735.0,TRAMO FONASA,2036.0,4855.0,1820.0,3024.0,,,,,,,,,,,,,,,,,,,,,,,,
13301,COLINA,,,,115259.0,TRAMO FONASA,25821.0,42950.0,19076.0,27412.0,,,,,,,,,,,,,,,,,,,,,,,,
13302,LAMPA,,,,86317.0,TRAMO FONASA,23528.0,28605.0,13814.0,20370.0,,,,,,,,,,,,,,,,,,,,,,,,
13303,TILTIL,,,,16570.0,TRAMO FONASA,3189.0,6010.0,2731.0,4640.0,,,,,,,,,,,,,,,,,,,,,,,,
13401,SAN BERNARDO,,,,258625.0,TRAMO FONASA,50512.0,98975.0,43680.0,65458.0,,,,,,,,,,,,,,,,,,,,,,,,
13402,BUIN,,,,98067.0,TRAMO FONASA,15388.0,41149.0,15974.0,25556.0,,,,,,,,,,,,,,,,,,,,,,,,
13403,CALERA DE TANGO,,,,20264.0,TRAMO FONASA,2754.0,8934.0,3768.0,4808.0,,,,,,,,,,,,,,,,,,,,,,,,
13404,PAINE,,,,72657.0,TRAMO FONASA,12157.0,32050.0,11493.0,16957.0,,,,,,,,,,,,,,,,,,,,,,,,
13501,MELIPILLA,,,,127099.0,TRAMO FONASA,25736.0,56121.0,18862.0,26380.0,,,,,,,,,,,,,,,,,,,,,,,,
13502,ALHUÉ,,,,8823.0,TRAMO FONASA,1385.0,3719.0,1327.0,2392.0,,,,,,,,,,,,,,,,,,,,,,,,
13503,CURACAVÍ,,,,27392.0,TRAMO FONASA,5140.0,12177.0,4135.0,5940.0,,,,,,,,,,,,,,,,,,,,,,,,
13504,MARÍA PINTO,,,,15743.0,TRAMO FONASA,2968.0,6929.0,2283.0,3563.0,,,,,,,,,,,,,,,,,,,,,,,,
13505,SAN PEDRO,,,,12950.0,TRAMO FONASA,4027.0,5131.0,1568.0,2224.0,,,,,,,,,,,,,,,,,,,,,,,,
13601,TALAGANTE,,,,62615.0,TRAMO FONASA,8956.0,25882.0,10993.0,16784.0,,,,,,,,,,,,,,,,,,,,,,,,
13602,EL MONTE,,,,34520.0,TRAMO FONASA,6537.0,13808.0,5631.0,8544.0,,,,,,,,,,,,,,,,,,,,,,,,
13603,ISLA DE MAIPO,,,,34998.0,TRAMO FONASA,5105.0,15852.0,5782.0,8259.0,,,,,,,,,,,,,,,,,,,,,,,,
13604,PADRE HURTADO,,,,59430.0,TRAMO FONASA,11406.0,21755.0,10366.0,15903.0,,,,,,,,,,,,,,,,,,,,,,,,
13605,PEÑAFLOR,,,,83831.0,TRAMO FONASA,13609.0,33344.0,14318.0,22560.0,,,,,,,,,,,,,,,,,,,,,,,,
Total general,,,,,5972247.0,TRAMO FONASA,1094881.0,2303331.0,1006791.0,1567244.0,,,,,,,,,,,,,,,,,,,,,,,,
13101,SANTIAGO,,,,,TRAMO EDAD,,,,,9540.0,7020.0,19366.0,18255.0,16357.0,19480.0,32318.0,43074.0,37739.0,29331.0,22708.0,19057.0,17027.0,15710.0,13002.0,9516.0,7104.0,4886.0,2654.0,1448.0,482.0,159.0,116.0,346349.0
13102,CERRILLOS,,,,,TRAMO EDAD,,,,,1746.0,1228.0,3794.0,3824.0,4029.0,4222.0,4850.0,4868.0,4456.0,4045.0,3674.0,3913.0,3855.0,3617.0,2874.0,2312.0,1956.0,1482.0,750.0,344.0,96.0,19.0,9.0,61963.0
13103,CERRO NAVIA,,,,,TRAMO EDAD,,,,,3465.0,2625.0,7530.0,7878.0,7929.0,8860.0,10656.0,11044.0,9261.0,8292.0,7638.0,8679.0,8039.0,7079.0,5186.0,4169.0,3586.0,2386.0,1178.0,534.0,131.0,45.0,36.0,126226.0
13104,CONCHALÍ,,,,,TRAMO EDAD,,,,,2822.0,2168.0,7195.0,7882.0,7693.0,8445.0,9967.0,10231.0,9182.0,7924.0,7192.0,7615.0,7942.0,7682.0,5952.0,4353.0,3580.0,2748.0,1635.0,849.0,252.0,78.0,58.0,123445.0
13105,EL BOSQUE,,,,,TRAMO EDAD,,,,,4552.0,3604.0,11422.0,12007.0,11914.0,12856.0,14267.0,14813.0,12927.0,11765.0,9968.0,10539.0,10347.0,10044.0,8232.0,5880.0,4573.0,3062.0,1577.0,716.0,198.0,52.0,47.0,175362.0
13106,ESTACIÓN CENTRAL,,,,,TRAMO EDAD,,,,,4353.0,3418.0,8494.0,7222.0,6350.0,7827.0,12124.0,14742.0,12226.0,9262.0,7078.0,6591.0,6408.0,5888.0,4373.0,3161.0,2671.0,2004.0,1108.0,549.0,139.0,31.0,23.0,126042.0
13107,HUECHURABA,,,,,TRAMO EDAD,,,,,1870.0,1556.0,4724.0,5012.0,5046.0,5556.0,6228.0,6241.0,5267.0,4688.0,4347.0,5087.0,4973.0,4152.0,2952.0,2454.0,2405.0,1581.0,728.0,294.0,72.0,15.0,12.0,75260.0
13108,INDEPENDENCIA,,,,,TRAMO EDAD,,,,,3365.0,2640.0,7872.0,7066.0,6056.0,6544.0,9759.0,12168.0,10672.0,8634.0,6771.0,5895.0,5195.0,4827.0,4273.0,3148.0,2431.0,1707.0,966.0,545.0,172.0,46.0,28.0,110780.0
13109,LA CISTERNA,,,,,TRAMO EDAD,,,,,2149.0,1664.0,4886.0,4894.0,4559.0,5086.0,6688.0,7124.0,6660.0,5561.0,4574.0,4632.0,4421.0,4587.0,4032.0,3093.0,2487.0,1871.0,1098.0,567.0,216.0,124.0,352.0,81325.0
13110,LA FLORIDA,,,,,TRAMO EDAD,,,,,8290.0,6421.0,20004.0,21082.0,20867.0,24053.0,27948.0,29644.0,26482.0,23412.0,20784.0,21049.0,20656.0,21891.0,20036.0,15917.0,12317.0,7624.0,3756.0,1748.0,542.0,121.0,81.0,354725.0
13111,LA GRANJA,,,,,TRAMO EDAD,,,,,3131.0,2352.0,7414.0,9121.0,9203.0,10049.0,11041.0,11729.0,10568.0,9575.0,8237.0,8007.0,8014.0,9018.0,7566.0,5000.0,3343.0,1899.0,1132.0,650.0,176.0,52.0,90.0,137367.0
13112,LA PINTANA,,,,,TRAMO EDAD,,,,,4581.0,3561.0,11202.0,12151.0,12095.0,11971.0,12817.0,13132.0,11295.0,11023.0,9338.0,9714.0,9055.0,8680.0,7399.0,5602.0,3891.0,2237.0,985.0,358.0,89.0,24.0,42.0,161242.0
13113,LA REINA,,,,,TRAMO EDAD,,,,,727.0,628.0,1931.0,2126.0,2235.0,3068.0,3379.0,3460.0,3084.0,2810.0,2835.0,3135.0,3180.0,3183.0,2651.0,2203.0,1992.0,1577.0,1044.0,581.0,234.0,48.0,20.0,46131.0
13114,LAS CONDES,,,,,TRAMO EDAD,,,,,1173.0,987.0,3135.0,3542.0,3885.0,4852.0,6528.0,6879.0,6517.0,5734.0,6008.0,6688.0,7213.0,7638.0,6717.0,5434.0,4836.0,4074.0,2757.0,1666.0,732.0,156.0,23.0,97174.0
